SOURCE	TARGET
AT5G06360.1	AT2G37920.1
AT5G06360.1	AT2G42650.1
AT5G06360.1	AT2G34520.1
AT5G06360.1	AT2G34570.1
AT5G06360.1	AT1G49400.1
AT5G06360.1	AT2G18020.1
AT5G06360.1	AT3G03600.1
AT5G06360.1	AT1G52300.1
AT5G06360.1	AT1G29320.1
AT5G06360.1	AT5G08180.2
AT5G06360.1	AT2G47990.1
AT5G06360.1	AT2G19670.1
AT5G06360.1	AT4G28360.1
AT5G06360.1	AT3G13940.1
AT5G06360.1	AT5G20600.1
AT5G06360.1	AT2G18220.1
AT5G06360.1	AT3G16780.1
AT5G06360.1	AT5G14520.1
AT5G06360.1	AT1G80620.1
AT5G06360.1	AT5G56670.1
AT5G06360.1	AT4G01560.1
AT5G06360.1	AT3G10610.1
AT5G06360.1	AT2G40700.1
AT5G06360.1	AT2G36930.1
AT5G06360.1	AT3G05560.3
AT5G06360.1	AT4G09800.1
AT3G11240.1	AT3G24800.1
AT3G44890.1	AT2G24090.1
AT3G44890.1	AT1G68590.1
AT3G44890.1	AT1G14620.1
AT3G44890.1	AT1G02150.1
AT3G44890.1	AT2G16960.1
AT3G44890.1	ATCG00790.1
AT3G44890.1	AT3G56910.1
AT3G44890.1	AT2G18020.1
AT3G44890.1	AT3G03600.1
AT3G44890.1	AT4G28360.1
AT3G44890.1	AT5G30510.1
AT3G44890.1	AT2G38140.1
AT3G44890.1	AT1G80620.1
ATCG00740.1	ATCG00790.1
ATCG00740.1	ATCG00760.1
ATCG00740.1	AT2G34520.1
ATCG00740.1	AT2G18020.1
ATCG00740.1	AT1G08540.1
ATCG00740.1	AT3G13940.1
AT1G11060.1	AT4G31880.1
AT5G22880.1	AT5G51940.1
AT5G22880.1	AT4G15950.1
AT5G22880.1	AT5G04240.1
AT5G22880.1	AT5G59180.1
AT5G22880.1	AT5G63110.1
AT5G22880.1	AT2G04630.1
AT5G22880.1	AT1G11475.1
AT5G22880.1	AT1G54140.1
AT5G22880.1	AT3G48190.1
AT5G22880.1	AT5G54260.1
AT5G22880.1	AT2G37470.1
AT1G33040.1	AT1G17880.1
AT5G47810.1	AT3G52220.1
AT5G47810.1	AT1G72520.1
AT5G47810.1	AT1G48050.1
AT5G47810.1	AT4G37390.1
AT4G02400.1	AT3G01160.1
AT4G02400.1	AT1G23280.1
AT4G02400.1	AT5G17930.1
AT4G02400.1	AT5G27120.1
AT4G02400.1	AT5G30495.2
AT4G02400.1	AT4G16630.1
AT4G02400.1	AT3G15460.1
AT4G02400.1	AT3G49180.1
AT4G02400.1	AT5G06360.1
AT4G02400.1	AT2G47420.1
