PHOS_LOGFC0	PHOS_LOGFC1	PHOS_LOGFC2	PHOS_LOGFC3	ID	SAMPLE
0.0	0.0	0.0	0.0	AT5G36250.1	1
0.01831265195035467	-0.5980033135171718	0.4675645075281064	-0.27489696907053635	AT5G36880.2	1
-0.4215177676528832	-1.1693052844167313	0.8114970440863688	0.024475382170750876	AT5G36880.2	2
0.0	0.0	0.0	0.0	AT5G36880.2	3
0.0	0.0	0.0	0.0	AT5G37370.1	1
-0.40883596131688793	-0.9544512313749985	0.7337537720986651	-0.2332478827877275	AT5G37370.1	2
0.08899230046251344	-0.9550459375452814	0.5567740525589459	-0.03863660624314146	AT5G37370.1	3
0.24553867442468183	-0.520213631294165	0.5039031797708358	0.09987736223529678	AT5G38420.1	1
0.0	0.0	0.0	0.0	AT5G38560.1	1
0.0	0.0	0.0	0.0	AT5G38600.1	1
-0.20615976551836082	0.25039738071319	-0.2789151183049399	0.12910582120109323	AT5G38600.1	2
0.19316192153584658	0.2341662452745173	-0.3227599224716099	-0.009845635357181193	AT5G38640.1	1
-0.0009250402144254875	-0.43824587370441437	0.30784282384376943	0.10500692106238534	AT5G38640.1	2
0.0	0.0	0.0	0.0	AT5G38640.1	3
0.055984793266991684	-0.829431847056445	0.6534110230027556	0.08962402014620649	AT5G38640.1	4
